100, 0, 0 
101, 0, 0 
102, 0, 80 
103, 35, 45 
104, 0, 80 
105, 28, 52 
106, 6, 74 
107, 19, 61 
110, 0, 0 
111, 40, 40 
112, 0, 80 
113, 48, 32 
114, 30, 50 
115, 46, 34 
116, 30, 50 
117, 35, 45 
120, 0, 0 
121, 43, 37 
122, 0, 80 
123, 57, 23 
124, 16, 64 
125, 44, 36 
126, 31, 49 
127, 37, 43 
130, 0, 0 
131, 48, 32 
132, 0, 80 
133, 56, 24 
134, 29, 51 
135, 46, 34 
136, 31, 49 
137, 39, 41 
140, 0, 0 
141, 47, 33 
142, 0, 80 
143, 49, 31 
144, 31, 49 
145, 38, 42 
146, 19, 61 
147, 0, 0 
150, 0, 0 
151, 46, 34 
152, 0, 80 
153, 57, 23 
154, 25, 55 
155, 46, 34 
156, 33, 47 
157, 41, 39 
160, 0, 0 
161, 45, 35 
162, 0, 80 
163, 52, 28 
164, 28, 52 
165, 44, 36 
166, 31, 49 
167, 0, 80 
170, 0, 0 
171, 44, 36 
172, 0, 80 
173, 43, 37 
174, 11, 69 
175, 42, 38 
176, 27, 53 
177, 37, 43 
200, 42, 38 
201, 44, 36 
202, 40, 40 
203, 51, 29 
204, 31, 49 
205, 39, 41 
206, 0, 0 
207, 36, 42 
210, 52, 28 
211, 62, 18 
212, 45, 35 
213, 53, 27 
214, 33, 47 
215, 40, 40 
216, 0, 0 
217, 51, 28 
220, 33, 47 
221, 61, 19 
222, 53, 27 
223, 75, 5 
224, 48, 32 
225, 38, 42 
226, 0, 0 
227, 54, 25 
230, 41, 39 
231, 65, 15 
232, 59, 21 
233, 69, 11 
234, 40, 40 
235, 43, 37 
236, 0, 0 
237, 64, 16 
240, 44, 36 
241, 68, 12 
242, 60, 20 
243, 70, 10 
244, 34, 46 
245, 50, 30 
246, 0, 0 
247, 60, 20 
250, 56, 24 
251, 70, 10 
252, 61, 19 
253, 62, 18 
254, 52, 28 
255, 54, 26 
256, 0, 0 
257, 63, 17 
260, 63, 17 
261, 68, 12 
262, 61, 19 
263, 71, 9 
264, 47, 33 
265, 54, 26 
266, 0, 0 
267, 69, 11 
270, 49, 31 
271, 66, 14 
272, 55, 25 
273, 0, 0 
274, 39, 41 
275, 61, 19 
276, 0, 0 
277, 67, 13 
300, 53, 26 
301, 74, 6 
302, 55, 25 
303, 73, 7 
304, 41, 39 
305, 12, 68 
306, 51, 29 
307, 61, 19 
310, 68, 12 
311, 75, 5 
312, 72, 8 
313, 78, 2 
314, 71, 9 
315, 69, 11 
316, 75, 5 
317, 69, 11 
320, 68, 12 
321, 77, 3 
322, 72, 8 
